,100-F-T2-RE2-C_S87_,10-K-T1-Oli1-B_S12_,11-K-T1-Oli1-C_S23_,12-K-T1-Oli2-A_S34_,13-K-T1-Oli2-B_S44_,14-K-T1-Oli2-C_S55_,15-K-T1-Re1-A_S66_,16-K-T1-Re1-B_S77_,17-K-T1-Re1-C_S3_,18-K-T1-Re2-A_S13_,19-K-T1-Re2-B_S24_,1-K-T0-KO-A_S1_,21-K-T2-KO-A_S45_,22-K-T2-KO-B_S56_,23-K-T2-KO-C_S67_,24-K-T2-Oli1-A_S78_,25-K-T2-Oli1-B_S4_,26-K-T2-Oli1-C_S14_,27-K-T2-Oli2-A_S25_,28-K-T2-Oli2-B_S35_,29-K-T2-Oli2-C_S46_,30-K-T2-Re1-A_S57_,33-K-T2-Re2-A_S68_,34-K-T2-Re2-B_S79_,35-K-T2-Re2-C_S5_,36-K-T3-KO-A_S15_,37-K-T3-KO-B_S26_,38-K-T3-KO-C_S36_,39-K-T3-Oli1-A_S47_,3-K-T0-Re2-A_S22_,40-K-T3-Oli1-B_S58_,41-K-T3-Oli1-C_S69_,42-K-T3-Oli2-A_S80_,43-K-T3-Oli2-B_S6_,44-K-T3-Oli2-C_S16_,45-K-T3-Re1-A_S27_,46-K-T3-Re1-B_S37_,47-K-T3-Re1-C_S48_,48-K-T3-Re2-A_S59_,49-K-T3-Re2-B_S70_,4-K-T0-Oli1-A_S33_,50-K-T3-Re2-C_S81_,51-W-T0-KO-A_S7_,52-W-T0-Re1-A_S17_,53-W-T0-Re2-A_S28_,54-W-T0-Oli1-A_S38_,55-W-T0-Oli2-A_S49_,56-W-T1-KO-A_S60_,57-W-T1-KO-B_S71_,58-W-T1-KO-C_S82_,59-W-T1-Oli1-A_S8_,5-K-T0-Oli2-A_S43_,60-W-T1-Oli1-B_S18_,61-W-T1-Oli1-C_S29_,62-W-T1-Oli2-A_S39_,64-W-T1-Oli2-C_S50_,65-W-T1-Re1-A_S61_,66-W-T1-Re1-B_S72_,67-W-T1-Re1-C_S83_,68-W-T1-Re2-A_S9_,69-W-T1-Re2-B_S19_,6-K-T1-KO-A_S54_,70-W-T1-Re2-C_S30_,71-W-T2-KO-A_S40_,72-W-T2-KO-B_S51_,73-W-T2-KO-C_S62_,74-W-T2-Oli1-A_S73_,75-W-T2-Oli1-B_S84_,76-W-T2-Oli1-C_S10_,77-W-T2-Oli2-A_S20_,78-W-T2-Oli2-B_S31_,79-W-T2-Oli2-C_S41_,7-K-T1-KO-B_S65_,81-W-T2-Re1-B_S52_,82-W-T2-Re1-C_S63_,83-W-T2-Re2-A_S74_,84-W-T2-Re2-B_S85_,85-W-T2-Re2-C_S11_,88-F-T1-KO-A_S21_,89-F-T1-KO-B_S32_,8-K-T1-KO-C_S76_,90-F-T1-KO-C_S42_,91-F-T2-KO-A_S53_,92-F-T2-KO-B_S64_,93-F-T2-KO-C_S75_,94-F-T3-KO-A_S86_,9-K-T1-Oli1-A_S2_
ASV_75,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,0,2,4,2,3,3,7,7,2,1,0,5,20,26,27,30,26,34,0,1,3,0,43,0,272,228,5800,0,0,0,2,8,4,4,0,0
ASV_76,4982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,206,0,710,56,196,0,0,0,1,0,0,0,0,0,0,2,2,6,6,0,14,1,1,0,0,0,0,0,0,0,0,1,0,0,1,8,0,1,0,1,69,99,75,126,0
ASV_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,70,149,1,0,2,0,0,0,0,0,0,1163,652,4476,2,0,0,0,0,0,0,0,0
ASV_78,40,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,286,413,397,279,0,220,323,1989,1976,2,15,12,152,153,3,176,2,0,0,0,1,2,12,19,16,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0
ASV_79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,0,3,8,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,6,9,0,9,697,1273,983,3444,0
ASV_80,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,59,2,11,20,3,434,718,608,630,0,596,557,262,249,47,120,102,34,38,1,32,27,50,126,70,118,157,15,22,22,0,620,0,16,7,55,146,80,0,198,1,1,2,9,0
ASV_81,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,0,0,33,57,63,5,0,3,7,3,0,5,6,18,13,32,0,27,298,361,680,18,10,18,4,4,2,0,440,0,745,396,2682,16,13,0,3,37,63,52,83,0
ASV_82,0,3,4,0,2,0,0,1,0,1,0,1,4,1,1,3,0,2,0,0,0,1,0,0,0,0,2,2,4,0,0,4,10,2,4,2,6,8,2,10,0,12,53,13,15,32,10,2,1,4,0,1,0,0,1,2,0,0,4,19,11,0,10,7,19,18,6,3,9,6,3,1,1,17,0,6,4,10,647,504,4,877,684,734,711,1613,0
ASV_83,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,62,59,65,0,49,60,0,0,130,428,481,1,1,0,1,27,28,61,299,342,600,0,1,0,0,918,0,425,249,1534,0,0,0,4,5,8,11,0,0
ASV_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,15,17,477,0,376,458,16,14,0,1,25,0,0,0,0,24,18,26,871,1074,1802,111,234,232,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,6,4,6,63,0,93,83,3439,1652,13,51,64,47,42,0,49,11,5,4,5,5,16,23,41,9,0,3,0,2,0,3,0,1,0,11,0,0,0,0,0
ASV_86,5,1,1,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,0,0,3,0,1,0,1,9,18,9,0,1,16,0,0,1,1,0,1,1,0,0,2,3,26,137,11,0,5,6,14,1,0,2,0,17,16,44,240,314,51,40,0,37,8,7,23,47,7,24,8,25,0,0,757,0,25,36,76,25,34,0,388,56,60,50,2760,0
ASV_87,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,7,2,2,1,7,2,1,0,0,0,11,5,6,2,0,0,5,35,5,15,2,5,591,1159,995,8,1,4,6,1,4,44,156,139,173,166,1,131,157,161,232,31,35,35,3,13,8,0,143,0,111,69,512,26,38,3,98,5,10,7,18,0
