,100-F-T2-RE2-C_S87_,10-K-T1-Oli1-B_S12_,11-K-T1-Oli1-C_S23_,12-K-T1-Oli2-A_S34_,13-K-T1-Oli2-B_S44_,14-K-T1-Oli2-C_S55_,15-K-T1-Re1-A_S66_,16-K-T1-Re1-B_S77_,17-K-T1-Re1-C_S3_,18-K-T1-Re2-A_S13_,19-K-T1-Re2-B_S24_,1-K-T0-KO-A_S1_,21-K-T2-KO-A_S45_,22-K-T2-KO-B_S56_,23-K-T2-KO-C_S67_,24-K-T2-Oli1-A_S78_,25-K-T2-Oli1-B_S4_,26-K-T2-Oli1-C_S14_,27-K-T2-Oli2-A_S25_,28-K-T2-Oli2-B_S35_,29-K-T2-Oli2-C_S46_,30-K-T2-Re1-A_S57_,33-K-T2-Re2-A_S68_,34-K-T2-Re2-B_S79_,35-K-T2-Re2-C_S5_,36-K-T3-KO-A_S15_,37-K-T3-KO-B_S26_,38-K-T3-KO-C_S36_,39-K-T3-Oli1-A_S47_,3-K-T0-Re2-A_S22_,40-K-T3-Oli1-B_S58_,41-K-T3-Oli1-C_S69_,42-K-T3-Oli2-A_S80_,43-K-T3-Oli2-B_S6_,44-K-T3-Oli2-C_S16_,45-K-T3-Re1-A_S27_,46-K-T3-Re1-B_S37_,47-K-T3-Re1-C_S48_,48-K-T3-Re2-A_S59_,49-K-T3-Re2-B_S70_,4-K-T0-Oli1-A_S33_,50-K-T3-Re2-C_S81_,51-W-T0-KO-A_S7_,52-W-T0-Re1-A_S17_,53-W-T0-Re2-A_S28_,54-W-T0-Oli1-A_S38_,55-W-T0-Oli2-A_S49_,56-W-T1-KO-A_S60_,57-W-T1-KO-B_S71_,58-W-T1-KO-C_S82_,59-W-T1-Oli1-A_S8_,5-K-T0-Oli2-A_S43_,60-W-T1-Oli1-B_S18_,61-W-T1-Oli1-C_S29_,62-W-T1-Oli2-A_S39_,64-W-T1-Oli2-C_S50_,65-W-T1-Re1-A_S61_,66-W-T1-Re1-B_S72_,67-W-T1-Re1-C_S83_,68-W-T1-Re2-A_S9_,69-W-T1-Re2-B_S19_,6-K-T1-KO-A_S54_,70-W-T1-Re2-C_S30_,71-W-T2-KO-A_S40_,72-W-T2-KO-B_S51_,73-W-T2-KO-C_S62_,74-W-T2-Oli1-A_S73_,75-W-T2-Oli1-B_S84_,76-W-T2-Oli1-C_S10_,77-W-T2-Oli2-A_S20_,78-W-T2-Oli2-B_S31_,79-W-T2-Oli2-C_S41_,7-K-T1-KO-B_S65_,81-W-T2-Re1-B_S52_,82-W-T2-Re1-C_S63_,83-W-T2-Re2-A_S74_,84-W-T2-Re2-B_S85_,85-W-T2-Re2-C_S11_,88-F-T1-KO-A_S21_,89-F-T1-KO-B_S32_,8-K-T1-KO-C_S76_,90-F-T1-KO-C_S42_,91-F-T2-KO-A_S53_,92-F-T2-KO-B_S64_,93-F-T2-KO-C_S75_,94-F-T3-KO-A_S86_,9-K-T1-Oli1-A_S2_
ASV_88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,10,1,1,118,167,153,82,0,70,116,105,122,5,15,18,357,435,0,432,224,201,343,201,170,283,21,61,32,0,66,0,298,364,733,35,30,0,45,6,5,7,0,0
ASV_89,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98,14,18,20,10,277,416,385,36,0,28,41,7,4,7,13,17,24,30,0,21,629,711,1190,35,58,79,1,2,1,0,42,0,154,126,676,19,10,0,30,1,4,1,14,0
ASV_90,485,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,1068,15,105,44,1,0,0,0,0,1,0,1,0,0,0,0,1,3,0,3,15,27,28,0,0,0,0,0,0,0,0,0,1,0,2,1673,1188,0,38,0,0,1,16,0
ASV_91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,791,105,15,400,70,0,2,0,5,0,2,8,6,4,0,0,0,0,0,0,0,4,6,24,0,0,0,0,0,0,0,0,0,0,0,0,480,471,0,2647,5,0,2,1,0
ASV_92,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,217,37,93,26,1,6,2,97,0,72,112,19,26,2,5,1,1,0,0,0,15,19,50,15,23,21,19,28,33,0,41,0,2,1,8,325,261,0,2043,124,197,172,158,0
ASV_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,23,42,37,47,0,40,57,8,6,0,5,39,7,2,0,1,8,7,17,1066,1185,1924,100,153,102,0,4,1,2,1,16,0,0,0,1,0,0,0,0,0
ASV_94,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,184,149,92,86,53,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,265,187,1,3699,0,0,0,130,0
ASV_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,42,8,48,29,281,411,353,578,0,501,747,364,436,2,7,5,11,25,0,9,78,79,137,39,30,70,86,182,100,0,9,0,10,8,40,1,11,0,36,0,0,1,1,0
ASV_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,28,52,49,497,0,518,476,612,626,0,1,6,1,2,0,3,2,1,3,183,260,326,232,361,423,0,3,0,0,0,1,24,22,0,3,0,0,1,4,0
ASV_97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,7,7,3,113,224,145,448,0,431,541,353,372,2,27,19,8,3,0,8,32,47,92,213,262,301,105,182,194,0,143,0,31,15,91,52,33,0,12,7,6,11,10,0
ASV_98,7,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,21,15,32,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,1,0,0,0,0,1,1986,1576,6,518,18,23,7,0,0
ASV_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,384,321,841,0,772,873,415,357,4,21,22,3,11,0,7,0,0,0,13,23,34,0,6,2,0,2,0,0,0,0,0,1,0,0,2,1,2,5,0
ASV_100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,200,342,283,655,0,424,548,286,303,4,12,28,14,11,0,13,1,4,5,138,192,256,100,137,146,0,3,0,1,0,0,0,0,0,2,16,28,17,50,0
ASV_101,29,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,212,173,35,49,92,635,980,881,16,0,22,25,14,14,13,62,64,52,52,0,58,47,53,132,20,34,29,7,21,20,0,35,0,12,3,35,51,42,0,119,12,19,20,31,0
ASV_102,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,184,249,239,278,0,244,359,355,365,4,12,6,113,100,0,102,0,0,0,2,3,8,359,579,585,0,28,0,0,1,0,2,1,0,0,0,0,0,0,1
ASV_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1730,6,694,475,4,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,785,416,1,7,0,0,0,1,0
ASV_104,111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,200,31,52,17,1,2,0,0,0,0,2,0,0,2,0,0,1,2,1,3,0,0,0,0,0,0,10,1,4,2,16,0,0,0,0,1236,712,0,1615,0,2,0,0,0
ASV_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0,11,30,37,0,0,0,0,4,5,7,386,426,502,0,2,4,0,530,0,336,344,1459,0,0,0,0,0,0,0,0,0
ASV_106,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,2,1,0,2,0,0,13,49,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,8,0,612,326,540,425,1520,0
ASV_107,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,5,3,121,184,140,31,0,24,31,19,12,15,45,47,49,52,0,67,102,150,221,8,13,19,1,1,1,0,72,0,354,201,1373,40,13,0,23,126,181,144,64,0
ASV_108,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,174,263,224,239,0,199,348,362,348,1,6,14,93,111,0,111,2,0,0,2,8,4,401,539,545,0,17,0,0,0,1,3,1,0,1,0,0,0,0,0
ASV_109,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,14,7,12,16,9,0,0,0,0,0,0,1,4,5,350,337,0,323,617,815,1191,0,0,0,5,10,5,0,114,0,0,0,0,2,2,0,2,0,0,0,154,0
ASV_110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,39,10,14,3,4,70,52,72,438,0,419,563,610,640,2,7,13,7,6,0,11,8,4,6,220,195,298,69,119,69,0,7,0,4,5,12,2,5,0,10,3,0,0,2,0
ASV_111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,126,487,503,0,0,0,0,4,3,6,0,3,2,0,0,0,0,2677,0,0,1,6,0,0,0,0,38,35,47,0,0
ASV_112,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108,137,5,41,47,95,106,138,3,0,0,2,84,48,0,3,0,16,10,0,12,3,2,12,3,2,2,22,41,14,1,7,0,242,284,568,633,476,2,673,27,20,28,1,0
ASV_113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,1370,1582,0,0
ASV_114,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,550,284,463,31,0,0,0,8,0,6,18,3,2,0,1,2,1,2,0,0,0,0,0,25,15,29,1,1,1,0,2,0,0,0,1,306,261,0,1194,22,36,34,4,0
ASV_115,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,697,117,346,167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,458,394,0,906,13,10,9,0,0
ASV_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,9,2,5,247,270,249,220,2,186,225,358,344,51,139,203,19,9,0,18,12,6,8,120,128,160,138,225,181,0,112,0,8,5,25,21,13,0,72,1,3,6,1,0
ASV_117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,1,0,25,36,23,0,0,1,2,0,0,162,561,532,389,237,0,255,21,22,45,0,2,0,0,0,0,0,407,0,198,172,552,0,0,0,9,2,7,8,1,0
ASV_118,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,3,3,1,1,269,545,456,44,0,43,51,2,9,17,74,68,79,91,0,98,59,77,109,82,119,151,4,20,12,0,185,0,101,73,454,7,3,0,20,0,0,1,17,0
ASV_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,859,890,1566,2,5,2,1,3,5,0,0,0,1,0,0,13,6,0,0,0,0,0,3,0
ASV_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,481,191,74,106,112,6,6,1,3,0,1,0,4,2,0,1,0,23,17,0,10,1,2,2,0,1,0,0,0,1,0,1,0,0,2,3,871,761,1,652,0,0,0,1,0
ASV_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,874,906,1496,3,2,8,0,1,0,0,0,0,2,0,0,8,6,0,0,0,0,0,6,0
ASV_122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,6,31,0,2,10,14,27,0,13,12,18,11,0,0,1,718,785,0,753,9,6,25,41,36,50,7,7,8,0,255,0,70,27,333,0,3,0,1,0,0,0,0,0
ASV_123,132,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,0,3,0,6,5,1,0,0,0,4,3,2,5,0,0,17,276,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,635,0,1105,7,1,1,127,0
ASV_124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,0,1,0,2,1,0,0,0,690,1003,850,34,0,29,30,10,12,28,97,130,6,6,0,2,21,20,44,53,42,80,17,31,19,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0
ASV_125,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,3,0,1,8,0,1,1,3,0,0,0,13,209,4,4,1,4,2,3,127,0,76,147,52,36,0,0,0,2,3,0,4,10,4,3,24,12,12,163,237,195,0,0,0,0,0,2,366,244,1,1227,2,0,0,33,0
ASV_126,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,169,237,236,43,0,44,84,487,463,0,2,2,36,59,0,46,62,62,73,11,18,33,298,498,170,0,3,0,5,9,27,5,1,0,4,0,0,2,0,0
ASV_127,57,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,10,1,0,0,1,12,17,23,19,5,23,3,0,0,2,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,2,0,1,3,0,2,4,9,5,0,3,4,0,3,1,0,4,0,1,3,13,1,3,0,6,647,634,762,834,0
ASV_128,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,201,0,0,199,295,328,85,0,81,111,21,22,0,8,7,81,74,0,70,313,268,516,11,20,31,41,70,60,0,38,0,23,7,56,7,6,0,9,0,0,1,0,0
ASV_129,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,1,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,2,0,0,1,0,1,41,39,52,0,0,0,0,1,1,0,4,0,19,8,0,18,3,7,7,4,11,6,1,1,5,0,399,0,391,404,1049,0,0,0,0,0,0,0,7,0
ASV_130,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,2,1,4,16,4,1,0,0,0,0,0,0,1,0,384,435,0,444,1,0,1,0,0,0,1,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,114,0,6,0,0,5,7,16,13,0,14,22,1,1,0,0,2,0,1,0,0,0,1,0,60,68,78,106,160,199,0,3,0,0,0,2,1364,725,0,9,4,0,8,0,0
ASV_132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,10,21,0,2073,0,0,0,0,0
ASV_133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,8,1,2,4,2,147,267,206,52,0,36,64,10,14,12,54,54,44,46,0,45,45,51,78,198,203,224,29,60,61,0,168,0,129,68,453,9,3,0,13,0,0,3,30,0
ASV_134,12,4,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,14,0,0,0,4,0,0,1,0,0,3,0,0,0,0,77,17,27,19,8,16,12,18,15,0,8,24,105,130,3,6,9,69,76,3,56,214,315,359,11,14,26,30,48,33,1,63,0,48,40,160,171,167,2,415,10,14,11,0,1
ASV_135,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,180,100,31,144,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,290,222,1,497,162,167,226,214,0
ASV_136,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,14,7,4,8,47,3,0,5,16,2,1,2,20,16,41,2,0,0,4,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,4,0,0,0,0,5,3,6,146,167,239,380,686,487,0,19,0,6,1,7,0,0,0,0,0,0,2,334,0
ASV_137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,86,161,138,123,0,100,129,110,110,14,31,28,14,19,0,20,49,56,84,168,165,307,76,151,132,0,239,0,57,22,175,7,8,0,29,4,5,4,11,0
ASV_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,26,0,0,0,0,0,2,4,787,857,1118,0,2,0,0,0,0,0,1,2,0,0,0,1,1,3,1,0,0
ASV_139,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,1,3,71,88,68,0,0,5,6,3,10,2,9,13,23,32,0,37,28,48,91,0,2,0,0,2,0,0,25,1,282,166,1014,11,2,0,0,141,236,191,151,0
ASV_140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,104,156,151,109,0,124,122,119,93,5,29,40,15,10,0,19,49,46,85,177,170,270,92,139,101,0,231,0,50,36,197,5,5,0,8,2,4,8,13,0
ASV_141,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,20,64,44,0,0,0,0,0,0,0,0,3,12,13,0,14,448,645,1179,8,3,7,0,1,0,0,56,0,41,28,180,4,6,0,0,1,2,2,4,0
ASV_142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,154,225,194,437,0,331,411,221,213,0,2,4,4,4,0,6,2,8,6,75,103,122,41,52,39,0,13,0,0,0,0,0,1,0,3,16,11,18,3,0
ASV_143,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,27,87,0
ASV_144,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,340,267,63,129,60,0,1,1,1,0,1,3,0,2,0,1,5,3,0,0,2,4,3,3,1,0,2,0,1,5,4,2,0,0,1,10,474,345,2,788,51,45,51,0,0
ASV_145,2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,4,0,0,0,0,0,0,0
ASV_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,24,6,20,6,9,14,1,0,1,0,98,109,0,4,3,0,0,0,0,0,0,2,3,1,0,1,1,1,0,2,0,0,0,2,172,75,0,2065,0,0,0,0,0
ASV_147,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,73,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,8,1,1,0,1,0,0,0,3,0,1,1,1,33,16,0,2197,72,78,85,3,0
ASV_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,18,0,2507,0,1,0,0,0
ASV_149,189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,4,0,0,3,1,0,3,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,8,1,5,0,1,0,0,1,0,0,1,4,113,107,0,134,568,724,712,1,0
ASV_150,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,1,0,1,66,94,88,5,0,5,8,9,10,7,14,22,27,36,0,43,56,102,152,2,2,9,0,1,1,0,39,0,241,143,887,7,3,0,5,83,135,100,85,0
ASV_151,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,25,0,4,4,3,0,0,0,84,0,81,105,32,48,0,0,1,0,4,0,1,11,7,13,9,7,7,470,691,621,0,2,0,0,0,1,140,111,0,1,0,1,0,1,0
ASV_152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,2,3,0,5,15,10,4,0,5,3,0,0,2,16,13,0,1,0,0,7,11,6,22,31,56,3,8,6,0,40,0,0,0,0,568,304,0,13,342,495,471,0,0
ASV_153,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,405,660,531,0,0,0,1,2,0,4,17,41,31,59,0,44,1,0,0,1,0,0,0,0,0,0,50,0,112,61,380,0,0,1,0,18,23,27,0,0
ASV_154,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,963,0,387,212,202,1,0,0,34,0,20,41,24,29,0,0,0,14,10,0,14,1,1,1,3,0,2,7,7,9,0,8,0,99,77,280,1,1,0,0,0,0,0,0,0
ASV_155,34,0,0,0,0,0,0,0,0,3,1,0,2,13,0,3,0,0,0,0,0,0,15,11,3,2,14,101,4,0,1,4,2,2,1,2,0,8,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,5,1,4,1,1,0,0,0,0,2,4,0,0,0,2,45,31,4,35,631,688,734,7,0
ASV_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,295,112,398,58,0,0,1,5,2,4,1,5,3,0,0,1,0,1,0,0,1,4,4,1,2,2,0,2,4,0,0,0,0,0,2,46,20,0,23,0,0,0,0,0
